"No.","Time","Source","Destination","Protocol","Length","Info"
"279","18.156683","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=94209 Ack=1 Win=2048 Len=1024"
"280","18.160856","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=95233 Ack=1 Win=2048 Len=1024"
"282","18.165079","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=96257 Ack=1 Win=2048 Len=1024"
"283","18.169465","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=97281 Ack=1 Win=2048 Len=1024"
"285","18.173511","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=98305 Ack=1 Win=2048 Len=1024"
"286","18.178699","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=99329 Ack=1 Win=2048 Len=1024"
"288","18.182842","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=100353 Ack=1 Win=2048 Len=1024"
"289","18.187040","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=101377 Ack=1 Win=2048 Len=1024"
"291","18.192227","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=102401 Ack=1 Win=2048 Len=1024"
"292","18.196450","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=103425 Ack=1 Win=2048 Len=1024"
"294","18.200685","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=104449 Ack=1 Win=2048 Len=1024"
"295","18.204840","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=105473 Ack=1 Win=2048 Len=1024"
"297","18.210084","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=106497 Ack=1 Win=2048 Len=1024"
"299","18.214776","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=107521 Ack=1 Win=2048 Len=1024"
"301","18.218972","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=108545 Ack=1 Win=2048 Len=1024"
"302","18.224181","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=109569 Ack=1 Win=2048 Len=1024"
"304","18.228386","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=110593 Ack=1 Win=2048 Len=1024"
"305","18.232584","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=111617 Ack=1 Win=2048 Len=1024"
"307","18.236788","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=112641 Ack=1 Win=2048 Len=1024"
"308","18.240972","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=113665 Ack=1 Win=2048 Len=1024"
"310","18.246216","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=114689 Ack=1 Win=2048 Len=1024"
"311","18.250422","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=115713 Ack=1 Win=2048 Len=1024"
"313","18.254586","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=116737 Ack=1 Win=2048 Len=1024"
"314","18.258870","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=117761 Ack=1 Win=2048 Len=1024"
"316","18.263068","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=118785 Ack=1 Win=2048 Len=1024"
"317","18.268274","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=119809 Ack=1 Win=2048 Len=1024"
"319","18.272490","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=120833 Ack=1 Win=2048 Len=1024"
"320","18.276676","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=121857 Ack=1 Win=2048 Len=1024"
"322","18.280867","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=122881 Ack=1 Win=2048 Len=1024"
"323","18.285086","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=123905 Ack=1 Win=2048 Len=1024"
"326","18.290270","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=124929 Ack=1 Win=2048 Len=1024"
"327","18.294450","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=125953 Ack=1 Win=2048 Len=1024"
"329","18.298640","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=126977 Ack=1 Win=2048 Len=1024"
"330","18.302851","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=128001 Ack=1 Win=2048 Len=1024"
"332","18.307371","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=129025 Ack=1 Win=2048 Len=1024"
"333","18.309590","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=130049 Ack=1 Win=2048 Len=1024"
"335","18.311790","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=131073 Ack=1 Win=2048 Len=1024"
"336","18.313985","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=132097 Ack=1 Win=2048 Len=1024"
"338","18.316198","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=133121 Ack=1 Win=2048 Len=1024"
"339","18.320387","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=134145 Ack=1 Win=2048 Len=1024"
"341","18.324591","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=135169 Ack=1 Win=2048 Len=1024"
"342","18.328799","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=136193 Ack=1 Win=2048 Len=1024"
"344","18.333008","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=137217 Ack=1 Win=2048 Len=1024"
"345","18.338274","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=138241 Ack=1 Win=2048 Len=1024"
"347","18.342476","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=139265 Ack=1 Win=2048 Len=1024"
"348","18.346670","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=140289 Ack=1 Win=2048 Len=1024"
"350","18.350850","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=141313 Ack=1 Win=2048 Len=1024"
"351","18.355069","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=142337 Ack=1 Win=2048 Len=1024"
"353","18.360291","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=143361 Ack=1 Win=2048 Len=1024"
"354","18.364489","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=144385 Ack=1 Win=2048 Len=1024"
"356","18.368722","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=145409 Ack=1 Win=2048 Len=1024"
"357","18.372900","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=146433 Ack=1 Win=2048 Len=1024"
"359","18.377103","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=147457 Ack=1 Win=2048 Len=1024"
"360","18.382311","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=148481 Ack=1 Win=2048 Len=1024"
"362","18.386502","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=149505 Ack=1 Win=2048 Len=1024"
"363","18.390711","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=150529 Ack=1 Win=2048 Len=1024"
"365","18.394914","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=151553 Ack=1 Win=2048 Len=1024"
"366","18.400110","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=152577 Ack=1 Win=2048 Len=1024"
"368","18.404327","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=153601 Ack=1 Win=2048 Len=1024"
"369","18.408521","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=154625 Ack=1 Win=2048 Len=1024"
"371","18.412734","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=155649 Ack=1 Win=2048 Len=1024"
"372","18.416929","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=156673 Ack=1 Win=2048 Len=1024"
"374","18.422178","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=157697 Ack=1 Win=2048 Len=1024"
"375","18.426341","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=158721 Ack=1 Win=2048 Len=1024"
"377","18.430553","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=159745 Ack=1 Win=2048 Len=1024"
"378","18.434745","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=160769 Ack=1 Win=2048 Len=1024"
"380","18.438952","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=161793 Ack=1 Win=2048 Len=1024"
"381","18.444157","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=162817 Ack=1 Win=2048 Len=1024"
"383","18.448367","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=163841 Ack=1 Win=2048 Len=1024"
"384","18.452567","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=164865 Ack=1 Win=2048 Len=1024"
"386","18.456779","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=165889 Ack=1 Win=2048 Len=1024"
"387","18.460916","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=166913 Ack=1 Win=2048 Len=1024"
"389","18.466190","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=167937 Ack=1 Win=2048 Len=1024"
"390","18.470389","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=168961 Ack=1 Win=2048 Len=1024"
"392","18.474611","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=169985 Ack=1 Win=2048 Len=1024"
"393","18.477115","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=171009 Ack=1 Win=2048 Len=1024"
"395","18.479320","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=172033 Ack=1 Win=2048 Len=1024"
"396","18.481523","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=173057 Ack=1 Win=2048 Len=1024"
"398","18.483730","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=174081 Ack=1 Win=2048 Len=1024"
"399","18.486932","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=175105 Ack=1 Win=2048 Len=1024"
"401","18.492140","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=176129 Ack=1 Win=2048 Len=1024"
"402","18.496339","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=177153 Ack=1 Win=2048 Len=1024"
"404","18.500605","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=178177 Ack=1 Win=2048 Len=1024"
"405","18.504738","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=179201 Ack=1 Win=2048 Len=1024"
"407","18.508942","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=180225 Ack=1 Win=2048 Len=1024"
"408","18.514156","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=181249 Ack=1 Win=2048 Len=1024"
"410","18.518355","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=182273 Ack=1 Win=2048 Len=1024"
"411","18.522552","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=183297 Ack=1 Win=2048 Len=1024"
"413","18.526754","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=184321 Ack=1 Win=2048 Len=1024"
"414","18.530944","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=185345 Ack=1 Win=2048 Len=1024"
"416","18.536171","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=186369 Ack=1 Win=2048 Len=1024"
"417","18.540373","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=187393 Ack=1 Win=2048 Len=1024"
"419","18.544594","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=188417 Ack=1 Win=2048 Len=1024"
"420","18.548784","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=189441 Ack=1 Win=2048 Len=1024"
"422","18.552968","192.168.0.214","192.168.0.200","TCP","1078","5001  >  50264 [PSH, ACK] Seq=190465 Ack=1 Win=2048 Len=1024"
