"No.","Time","Source","Destination","Protocol","Length","Info"
"312","5.806303","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=174081 Ack=1 Win=2048 Len=1024"
"313","5.807343","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=175105 Ack=1 Win=2048 Len=1024"
"315","5.808486","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=176129 Ack=1 Win=2048 Len=1024"
"316","5.809548","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=177153 Ack=1 Win=2048 Len=1024"
"318","5.810699","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=178177 Ack=1 Win=2048 Len=1024"
"319","5.811753","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=179201 Ack=1 Win=2048 Len=1024"
"321","5.812897","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=180225 Ack=1 Win=2048 Len=1024"
"322","5.813973","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=181249 Ack=1 Win=2048 Len=1024"
"324","5.815104","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=182273 Ack=1 Win=2048 Len=1024"
"325","5.816149","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=183297 Ack=1 Win=2048 Len=1024"
"327","5.817312","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=184321 Ack=1 Win=2048 Len=1024"
"328","5.818354","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=185345 Ack=1 Win=2048 Len=1024"
"330","5.819499","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=186369 Ack=1 Win=2048 Len=1024"
"331","5.820557","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=187393 Ack=1 Win=2048 Len=1024"
"333","5.821721","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=188417 Ack=1 Win=2048 Len=1024"
"334","5.822759","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=189441 Ack=1 Win=2048 Len=1024"
"336","5.823904","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=190465 Ack=1 Win=2048 Len=1024"
"337","5.824977","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=191489 Ack=1 Win=2048 Len=1024"
"339","5.826102","192.168.0.214","192.168.0.200","TCP","1078","5001  >  59066 [PSH, ACK] Seq=192513 Ack=1 Win=2048 Len=1024"
